Player,Nation,Squad,Position,Age,Matches,Playing_Time_Starts,Minutes,Performance_Gls,Performance_Ast,Yellow_Cards,Red_Cards,Expected_xG,Expected_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_xG,Per_90_Minutes_xAG,Goals_Against_Per90,Save_Percentage,CleanSheet_Percentage,Penalty_Save_Percentage,Shots_On_Target_Percentage,Shots_On_Target_Per90,Goals_PerShot,Shooting_Distance,Total_Passes_Completed,Total_Passes_Completed_Percentage,Total_Passing_Distance,Short_Passe_Completed_Percentage,Medium_Passes_Completed_Percentage,Long_Passes_Completed_Percentage,Keypasses,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crossed_Into_Penalty_Area,Progressive_Passes,Shot_Creating_Actions,Shot_Creating_Actions_Per90,Goal_Creating_Actions,Goal_Creating_Actions_Per90,Tackles,Tackles_Won,Defensive_Actions_Attempted,Defensive_Actions_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Touches,Touches_Defensive_Penalty_Area,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Percentage,Take_Ons_Tackled_Percentage,Carries,Total_Carrying_Distance,Progressive_Carrying_Distance,Progressive_Carries,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessions,Receiving,Progressive_Receiving,Fouls,Fouled,Offsides,Crosses,Recoveries,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Wonpct
Cody Gakpo,NED,Liverpool,FW,25-342,29,17,1501.0,8,3,4,0,6.0,3.5,41,48,219,0.48,0.18,0.36,0.21,N/a,N/a,N/a,N/a,38.6,1.02,0.18,15.4,381,76.4,5401,86.4,68.2,57.1,30,21,23,6,48,61,3.66,6,0.36,24,12,22,11,18,2,16,8,693,20,65,202,440,80,47,57.4,31.9,461,3229,1635,41,27,18,34,17,520,219,16,20,5,56,58,13,20,39.4
Cole Palmer,ENG,Chelsea,MF,22-343,31,30,2652.0,14,8,6,0,15.8,9.2,96,184,159,0.48,0.27,0.54,0.31,N/a,N/a,N/a,N/a,35.8,1.32,0.10,20.3,954,76.6,18125,85.4,84.8,58.9,75,136,56,15,184,175,5.94,13,0.44,24,15,21,13,14,1,13,7,1555,17,120,687,768,122,98,43.9,40.8,983,6499,3133,96,64,34,56,30,1148,159,12,54,6,128,89,1,7,12.5
Conor Coady,ENG,Leicester City,DF,32-048,16,13,1174.0,0,0,2,0,0.0,0.1,2,26,0,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,660,90.7,11491,96.9,96.6,54.1,1,29,2,0,26,4,0.31,0,0.00,11,8,4,2,23,17,6,11,826,156,446,368,13,3,2,50.0,50.0,547,2343,1234,2,2,1,4,2,605,0,5,2,1,0,42,12,15,44.4
Craig Dawson,ENG,Wolves,DF,34-343,15,10,971.0,0,0,2,0,0.5,0.0,6,20,5,0.00,0.00,0.05,0.00,N/a,N/a,N/a,N/a,20.0,0.09,0.00,8.5,484,86.6,9745,92.5,93.0,60.0,2,22,1,0,20,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,20.0,40.0,390,1819,938,6,1,0,2,0,443,5,6,5,2,0,35,21,11,65.6
Cristian Romero,ARG,Tottenham,DF,26-352,17,17,1371.0,1,0,2,0,1.5,0.6,12,66,3,0.07,0.00,0.10,0.04,N/a,N/a,N/a,N/a,53.3,0.53,0.07,9.2,1057,89.1,19768,91.1,94.5,63.5,7,105,8,1,66,20,1.31,4,0.26,33,27,28,9,18,3,15,21,1333,157,586,689,69,21,4,25.0,50.0,873,4566,2777,12,18,0,8,5,908,3,12,12,2,3,85,40,26,60.6
Curtis Jones,ENG,Liverpool,"MF,DF",24-074,27,16,1414.0,3,3,3,1,4.1,1.0,21,83,67,0.19,0.19,0.26,0.06,N/a,N/a,N/a,N/a,41.4,0.76,0.10,15.6,798,93.3,11606,97.0,93.0,73.7,19,58,16,0,83,40,2.55,7,0.45,33,17,22,8,15,7,8,5,1011,26,155,533,329,50,16,62.5,31.3,612,2932,1318,21,14,5,22,29,759,67,15,21,0,6,74,13,12,52.0
Daichi Kamada,JPN,Crystal Palace,MF,28-252,27,12,1198.0,0,0,3,1,0.8,1.5,18,65,45,0.00,0.00,0.06,0.12,N/a,N/a,N/a,N/a,28.6,0.30,0.00,20.3,452,78.9,7210,87.1,81.3,57.1,16,39,11,2,65,39,2.93,3,0.23,40,23,35,23,17,3,14,15,720,18,155,383,186,21,13,30.8,53.8,346,1636,758,18,13,4,13,17,462,45,24,17,2,20,57,3,12,20.0
Dan Burn,ENG,Newcastle Utd,DF,32-340,30,30,2700.0,0,0,8,0,1.3,0.6,6,47,6,0.00,0.00,0.04,0.02,N/a,N/a,N/a,N/a,23.5,0.13,0.00,10.4,1397,89.2,25169,91.4,94.7,61.4,6,25,6,0,47,17,0.57,3,0.10,32,18,31,15,31,22,9,23,1878,314,1081,713,88,41,3,100.0,0.0,1065,4824,2046,6,4,1,20,3,1247,6,25,11,4,2,83,115,59,66.1
Dango Ouattara,BFA,Bournemouth,FW,23-062,28,17,1685.0,7,4,1,0,7.7,4.8,67,36,169,0.37,0.21,0.41,0.26,N/a,N/a,N/a,N/a,30.9,0.91,0.13,13.4,300,59.5,4743,72.1,62.6,35.1,28,19,23,9,36,59,3.15,6,0.32,31,23,36,20,30,8,22,8,795,47,131,255,424,114,67,44.8,47.8,407,2983,1457,67,27,35,51,28,478,169,14,15,13,74,72,34,50,40.5
Daniel Muñoz,COL,Crystal Palace,DF,28-323,30,30,2598.0,4,4,7,0,4.2,3.9,45,72,170,0.14,0.14,0.14,0.13,N/a,N/a,N/a,N/a,40.0,0.42,0.13,12.9,917,75.3,14053,85.4,77.0,44.2,35,46,23,11,72,67,2.32,8,0.28,100,65,77,34,30,2,28,35,1634,96,460,680,510,81,48,37.5,58.3,636,3230,1341,45,29,14,46,16,783,170,44,18,12,55,137,50,67,42.7
Danny Welbeck,ENG,Brighton,FW,34-139,25,19,1686.0,8,4,3,0,7.8,1.0,17,36,71,0.43,0.21,0.42,0.05,N/a,N/a,N/a,N/a,38.0,1.01,0.16,15.4,312,83.2,3657,84.9,87.7,100.0,16,12,11,0,36,40,2.14,6,0.32,21,12,15,9,15,1,14,5,569,12,44,248,281,78,31,35.5,54.8,334,1521,624,17,19,6,42,22,417,71,9,20,2,3,34,15,21,41.7
Dara O'Shea,IRL,Ipswich Town,DF,26-041,29,29,2582.0,0,2,6,0,1.1,0.5,3,68,6,0.00,0.07,0.04,0.02,N/a,N/a,N/a,N/a,10.5,0.07,0.00,13.7,1049,77.5,20962,86.1,84.9,50.4,3,78,2,1,68,19,0.66,3,0.10,40,25,28,11,56,45,11,31,1727,334,994,629,109,46,2,50.0,50.0,767,3373,1664,3,2,0,11,4,986,6,15,21,3,5,96,97,71,57.7
Darwin Núñez,URU,Liverpool,FW,25-294,25,8,1010.0,5,2,8,0,5.0,1.2,20,25,67,0.45,0.18,0.44,0.11,N/a,N/a,N/a,N/a,38.7,1.07,0.16,14.3,144,70.2,2149,80.4,72.9,66.7,9,9,2,0,25,24,2.13,4,0.36,18,15,15,10,6,0,6,3,326,10,43,110,183,60,21,38.1,57.1,175,939,492,20,16,10,21,17,216,67,26,14,11,2,37,15,29,34.1
David Raya,ESP,Arsenal,GK,29-211,32,32,2880.0,0,0,2,0,0.0,0.0,0,11,0,0.00,0.00,0.00,0.00,0.84,76.5,34.4,0.0,N/a,0.00,N/a,N/a,874,73.5,20908,99.2,98.5,37.6,0,38,1,0,11,4,0.12,1,0.03,0,0,2,2,0,0,0,2,1242,730,1164,78,0,0,1,100.0,0.0,766,3843,2304,0,0,0,1,0,707,0,1,7,0,0,31,10,0,100.0
Dean Henderson,ENG,Crystal Palace,GK,28-033,31,31,2790.0,0,0,3,0,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,1.29,68.5,29.0,50.0,0.0,0.00,0.00,14.9,628,62.6,16822,99.4,99.3,30.5,2,14,1,0,0,3,0.10,0,0.00,2,1,6,4,0,0,0,0,1085,883,1082,2,1,1,0,N/a,N/a,619,3708,1695,0,0,0,2,0,478,0,0,0,0,0,24,11,1,91.7
Dean Huijsen,ESP,Bournemouth,DF,20-000,25,20,1874.0,2,1,7,0,1.7,1.9,31,92,9,0.10,0.05,0.08,0.09,N/a,N/a,N/a,N/a,13.3,0.10,0.13,10.2,1006,83.6,20544,89.1,90.7,62.7,13,125,7,2,92,35,1.68,3,0.14,31,21,25,10,32,24,8,45,1506,199,709,707,98,28,5,40.0,60.0,815,4913,3022,31,14,0,14,1,916,9,24,9,1,11,87,57,37,60.6
Declan Rice,ENG,Arsenal,MF,26-090,30,28,2410.0,2,6,6,1,2.6,6.3,82,162,82,0.07,0.22,0.10,0.23,N/a,N/a,N/a,N/a,25.6,0.37,0.05,19.7,1183,83.1,20305,92.6,89.9,48.2,51,117,31,5,162,95,3.55,8,0.30,46,19,35,20,21,10,11,23,1675,64,277,797,618,65,25,44.0,52.0,890,5704,3026,82,53,14,36,24,1102,82,18,15,1,150,122,28,21,57.1
Dejan Kulusevski,SWE,Tottenham,"MF,FW",24-354,28,24,2170.0,7,4,3,0,4.1,6.1,115,118,201,0.29,0.17,0.17,0.25,N/a,N/a,N/a,N/a,37.2,0.66,0.16,14.7,615,73.5,8625,86.1,77.6,40.3,63,59,52,6,118,122,5.06,9,0.37,40,23,47,30,25,3,22,12,1183,21,134,394,679,146,107,32.7,59.8,774,5855,3092,115,66,37,72,70,841,201,40,33,5,88,111,9,11,45.0
Destiny Udogie,ITA,Tottenham,DF,22-137,23,22,1744.0,0,1,2,0,0.3,1.4,51,117,92,0.00,0.05,0.02,0.07,N/a,N/a,N/a,N/a,20.0,0.05,0.00,15.1,915,87.5,13224,91.2,90.6,81.5,15,86,6,1,117,33,1.70,3,0.15,71,44,45,13,37,5,32,19,1287,57,353,572,376,48,30,40.0,50.0,714,4005,2187,51,38,11,31,19,778,92,29,36,2,19,103,13,13,50.0
Diogo Dalot,POR,Manchester Utd,DF,26-027,31,31,2756.0,0,3,5,0,2.0,2.0,62,99,161,0.00,0.10,0.07,0.07,N/a,N/a,N/a,N/a,21.7,0.16,0.00,15.6,1321,80.6,21289,89.9,81.9,56.0,25,59,23,8,99,73,2.38,5,0.16,65,38,51,18,21,9,12,37,1938,113,653,761,541,66,50,52.0,40.0,1098,4868,2658,62,37,16,36,20,1170,161,40,9,4,63,164,37,21,63.8
Diogo Jota,POR,Liverpool,FW,28-131,21,13,1043.0,6,3,2,0,6.8,1.8,35,31,83,0.52,0.26,0.59,0.16,N/a,N/a,N/a,N/a,31.7,1.12,0.15,12.7,188,68.6,2791,75.6,73.6,57.9,11,27,3,1,31,33,2.85,8,0.69,11,7,19,12,9,0,9,6,423,5,27,173,230,84,30,36.7,60.0,233,1395,736,35,21,20,35,21,295,83,16,11,1,8,38,20,27,42.6
Djed Spence,ENG,Tottenham,DF,24-248,19,14,1334.0,1,2,4,1,0.5,1.7,45,88,63,0.07,0.13,0.03,0.11,N/a,N/a,N/a,N/a,37.5,0.20,0.13,22.9,803,87.0,11315,94.5,87.1,55.6,10,63,15,6,88,24,1.62,4,0.27,38,29,24,5,22,9,13,17,1125,62,386,507,250,22,63,50.8,39.7,657,3955,2089,45,38,6,23,22,713,63,17,23,2,19,82,16,11,59.3
Dominic Calvert-Lewin,ENG,Everton,FW,28-029,22,19,1574.0,3,1,2,0,6.1,0.6,22,19,105,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,37.0,0.97,0.07,12.3,174,62.6,2035,70.0,58.3,37.5,7,19,5,1,19,25,1.43,4,0.23,9,7,6,4,6,2,4,6,491,21,38,204,254,82,25,40.0,52.0,268,1398,444,22,8,16,71,32,402,105,27,22,27,6,32,83,79,51.2
Dominic Solanke,ENG,Tottenham,FW,27-212,23,23,2028.0,7,3,0,0,9.9,2.9,29,45,85,0.31,0.13,0.44,0.13,N/a,N/a,N/a,N/a,39.3,0.98,0.13,12.2,245,71.8,3296,76.3,77.1,66.7,14,27,9,0,45,37,1.64,8,0.36,18,11,12,8,17,7,10,0,616,31,66,283,273,106,48,33.3,60.4,365,1975,786,29,20,14,65,45,431,85,36,35,5,4,35,41,54,43.2
Dominik Szoboszlai,HUN,Liverpool,MF,24-171,30,24,2120.0,5,3,6,0,6.8,5.0,63,106,115,0.21,0.13,0.29,0.21,N/a,N/a,N/a,N/a,29.3,0.72,0.09,18.1,960,84.3,14859,88.9,88.1,71.8,41,71,30,4,106,95,4.03,12,0.51,29,19,37,22,33,4,29,9,1362,21,174,662,544,89,35,54.3,37.1,704,3590,1993,63,44,17,34,20,932,115,35,21,4,32,112,17,20,45.9
Dwight McNeil,ENG,Everton,"MF,FW",25-143,15,13,1145.0,3,4,1,0,0.9,3.8,32,61,65,0.24,0.31,0.07,0.30,N/a,N/a,N/a,N/a,34.8,0.63,0.13,22.0,378,73.4,7197,86.3,81.4,53.8,33,33,33,10,61,61,4.79,7,0.55,11,6,17,9,7,0,7,5,621,2,61,269,306,18,37,54.1,43.2,361,2255,957,32,29,4,22,24,417,65,6,13,1,91,64,3,14,17.6
Eberechi Eze,ENG,Crystal Palace,"MF,FW",26-289,27,25,2174.0,3,8,1,0,7.0,4.7,62,84,136,0.12,0.33,0.29,0.20,N/a,N/a,N/a,N/a,25.8,0.95,0.03,21.4,674,74.5,11283,85.7,83.1,43.7,51,44,30,3,84,112,4.64,9,0.37,36,22,35,18,24,0,24,10,1226,13,162,581,512,79,121,47.9,47.1,736,4488,2102,62,41,20,45,42,807,136,8,44,9,97,122,6,35,14.6
Ederson,BRA,Manchester City,GK,31-240,22,22,1960.0,0,4,3,0,0.0,1.5,0,1,0,0.00,0.18,0.00,0.07,1.15,68.5,31.8,0.0,N/a,0.00,N/a,N/a,693,88.1,17056,100.0,98.3,65.7,4,20,1,0,1,6,0.28,4,0.18,0,0,2,2,0,0,0,1,833,587,824,9,0,0,0,N/a,N/a,563,2612,1671,0,0,0,1,0,529,0,1,0,0,0,37,4,1,80.0
Edson Álvarez,MEX,West Ham,MF,27-172,25,19,1633.0,0,1,8,1,0.3,0.8,21,75,18,0.00,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.06,0.00,26.7,763,85.7,12894,88.8,89.7,73.5,11,80,11,3,75,25,1.38,2,0.11,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,45.2,38.7,603,3371,1528,21,20,2,25,13,734,18,37,18,4,6,78,28,20,58.3
Elliot Anderson,ENG,Nott'ham Forest,MF,22-159,31,27,2227.0,1,6,6,0,1.6,3.1,36,112,77,0.04,0.24,0.07,0.12,N/a,N/a,N/a,N/a,15.2,0.20,0.03,19.8,844,78.1,13378,89.0,80.5,46.0,33,84,16,2,112,74,2.99,10,0.40,76,49,90,49,41,8,33,25,1435,79,337,676,450,55,67,49.3,38.8,716,3972,1821,36,27,15,51,34,846,77,37,50,4,69,170,37,20,64.9
Emerson Palmieri,ITA,West Ham,DF,30-254,27,23,1851.0,2,1,5,0,1.8,1.5,38,56,72,0.10,0.05,0.09,0.07,N/a,N/a,N/a,N/a,50.0,0.34,0.14,18.8,747,79.1,11003,89.1,79.9,43.3,16,42,11,5,56,39,1.90,2,0.10,53,28,39,18,30,7,23,18,1167,74,378,491,313,24,30,33.3,56.7,483,2644,1465,38,22,8,22,7,636,72,21,13,0,59,82,15,18,45.5
Emile Smith Rowe,ENG,Fulham,MF,24-260,28,23,1805.0,5,2,2,0,4.1,1.1,50,113,106,0.25,0.10,0.21,0.05,N/a,N/a,N/a,N/a,25.0,0.40,0.16,15.4,803,90.2,11521,92.4,95.8,69.2,18,70,13,1,113,62,3.09,11,0.55,30,17,24,16,19,2,17,10,1067,20,148,504,425,51,33,48.5,45.5,699,3431,1797,50,37,11,31,13,820,106,17,12,4,12,62,6,16,27.3
Emiliano Martínez,ARG,Aston Villa,GK,32-224,31,31,2700.0,0,0,4,0,0.0,0.5,0,3,0,0.00,0.00,0.00,0.02,1.40,65.8,16.1,50.0,N/a,0.00,N/a,N/a,928,80.0,23885,97.6,98.2,50.8,1,18,0,0,3,5,0.17,1,0.03,2,2,1,0,1,0,1,0,1217,913,1202,15,0,0,1,100.0,0.0,732,3703,2339,0,0,0,1,0,668,0,1,5,0,0,28,7,1,87.5
Enzo Fernández,ARG,Chelsea,MF,24-087,30,26,2410.0,5,5,7,0,5.3,5.7,53,185,103,0.19,0.19,0.20,0.21,N/a,N/a,N/a,N/a,37.5,0.67,0.10,18.4,1321,80.3,23379,89.1,85.0,58.5,67,147,35,6,185,128,4.78,13,0.49,57,28,72,46,32,5,27,11,1909,31,296,966,659,72,43,48.8,34.9,1030,4725,2326,53,50,8,26,26,1397,103,45,42,1,94,130,13,27,32.5
Erling Haaland,NOR,Manchester City,FW,24-267,28,28,2480.0,21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.10,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,225,66.0,2706,70.6,66.7,66.7,26,9,7,1,18,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,1310,478,19,14,19,39,25,427,103,22,12,4,3,29,49,45,52.1
Ethan Pinnock,JAM,Brentford,DF,31-320,22,21,1913.0,2,0,2,0,1.1,1.2,3,41,9,0.09,0.00,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.28,0.20,11.1,924,85.6,17045,94.2,89.4,57.9,8,48,4,1,41,21,0.99,0,0.00,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,33.3,66.7,633,3117,1633,3,4,0,2,4,760,9,8,4,0,9,50,63,43,59.4
Evanilson,BRA,Bournemouth,FW,25-190,24,21,1723.0,9,0,0,0,10.3,1.5,24,17,79,0.47,0.00,0.54,0.08,N/a,N/a,N/a,N/a,49.1,1.41,0.16,13.0,173,69.5,2106,73.5,70.6,80.0,21,12,2,0,17,53,2.77,7,0.37,11,6,9,4,8,1,7,0,408,15,31,154,225,101,19,31.6,36.8,249,1355,637,24,13,13,28,19,291,79,26,40,14,0,52,32,52,38.1
Ezri Konsa,ENG,Aston Villa,DF,27-173,28,27,2396.0,1,0,0,0,0.9,0.4,16,70,11,0.04,0.00,0.03,0.01,N/a,N/a,N/a,N/a,37.5,0.11,0.13,8.6,1308,92.6,21828,96.3,95.6,63.6,5,91,1,0,70,22,0.83,3,0.11,31,17,22,4,16,9,7,21,1614,196,756,768,98,19,17,41.2,41.2,949,4786,2421,16,11,2,15,8,1129,11,6,41,0,5,83,26,21,55.3
Fabian Schär,SUI,Newcastle Utd,DF,33-115,27,26,2322.0,2,0,6,1,1.7,0.3,13,79,17,0.08,0.00,0.06,0.01,N/a,N/a,N/a,N/a,29.2,0.27,0.08,21.2,1284,83.1,25608,92.3,92.3,50.2,3,119,9,0,79,25,0.97,3,0.12,29,19,30,18,34,22,12,38,1806,216,953,752,111,28,11,63.6,18.2,1133,5080,2854,13,21,2,11,6,1245,17,27,9,3,9,112,36,54,40.0
Facundo Buonanotte,ARG,Leicester City,"FW,MF",20-112,27,13,1399.0,4,2,7,0,3.6,3.0,37,49,63,0.26,0.13,0.23,0.20,N/a,N/a,N/a,N/a,32.3,0.64,0.13,17.8,413,77.1,6526,85.9,81.8,49.3,23,36,13,2,49,46,2.96,4,0.26,48,27,63,43,32,6,26,10,805,23,117,412,289,32,74,33.8,60.8,442,2806,1261,37,26,8,51,37,491,63,33,32,3,40,74,14,31,31.1
Flynn Downes,ENG,Southampton,MF,26-084,21,19,1611.0,1,0,10,0,0.6,0.9,21,55,26,0.06,0.00,0.03,0.05,N/a,N/a,N/a,N/a,33.3,0.17,0.11,17.6,782,89.9,11569,92.9,92.4,66.7,12,47,9,0,55,25,1.40,2,0.11,40,21,31,18,20,4,16,29,1048,71,315,560,179,19,13,30.8,53.8,494,2677,1405,21,17,4,12,16,745,26,43,30,0,2,63,11,11,50.0
Gabriel Magalhães,BRA,Arsenal,DF,27-116,28,28,2363.0,3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.10,0.03,N/a,N/a,N/a,N/a,22.7,0.19,0.14,9.5,1480,90.2,25788,96.9,94.2,53.9,13,145,8,0,126,35,1.33,6,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,80.0,20.0,1116,4470,2669,10,22,0,9,2,1366,11,19,19,0,9,63,53,37,58.9
Gabriel Martinelli,BRA,Arsenal,"FW,MF",23-300,27,19,1794.0,6,4,1,0,5.1,4.3,102,41,235,0.30,0.20,0.26,0.22,N/a,N/a,N/a,N/a,44.7,0.85,0.16,12.4,387,70.2,5670,81.8,67.9,55.8,33,9,28,13,41,59,2.96,5,0.25,19,14,20,14,10,0,10,3,793,13,79,207,519,149,101,29.7,54.5,526,3965,2139,102,27,51,44,33,595,235,14,17,8,76,66,13,28,31.7
Georginio Rutter,FRA,Brighton,"MF,FW",22-359,28,19,1656.0,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,N/a,N/a,N/a,N/a,24.0,0.65,0.10,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,67,64,3.47,8,0.43,39,15,36,22,20,3,17,10,641,20,83,246,326,79,71,38.0,47.9,361,2467,1405,42,36,16,45,37,411,79,34,45,7,9,66,25,46,35.2
Guglielmo Vicario,ITA,Tottenham,GK,28-189,20,20,1800.0,0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,1.25,69.9,20.0,N/a,N/a,0.00,N/a,N/a,660,89.8,12698,99.1,97.4,53.1,0,1,0,0,1,3,0.15,0,0.00,0,0,0,0,0,0,0,1,782,522,767,15,0,0,1,100.0,0.0,566,2646,1514,0,0,0,0,0,510,0,0,1,0,0,27,9,0,100.0
Guido Rodríguez,ARG,West Ham,MF,31-002,20,14,1018.0,0,0,5,0,0.2,0.1,2,31,5,0.00,0.00,0.02,0.01,N/a,N/a,N/a,N/a,12.5,0.09,0.00,27.8,419,84.1,7149,87.4,91.4,62.7,3,36,1,0,31,10,0.88,0,0.00,30,16,30,16,21,9,12,12,617,42,196,366,56,2,3,66.7,0.0,284,988,392,2,5,0,2,6,354,5,15,11,1,4,46,8,7,53.3
Harry Maguire,ENG,Manchester Utd,DF,32-040,22,16,1418.0,1,0,7,0,1.4,0.3,6,42,5,0.06,0.00,0.09,0.02,N/a,N/a,N/a,N/a,36.4,0.25,0.09,8.1,788,86.3,14677,91.6,91.1,57.8,6,39,3,0,42,15,0.95,0,0.00,26,13,17,4,14,12,2,36,1085,133,541,497,60,35,5,40.0,60.0,640,3970,1629,6,6,3,6,2,702,5,16,6,1,2,53,51,21,70.8
Harry Winks,ENG,Leicester City,MF,29-071,22,17,1538.0,0,2,4,0,0.2,1.2,19,101,11,0.00,0.12,0.01,0.07,N/a,N/a,N/a,N/a,40.0,0.23,0.00,29.2,910,87.1,14101,92.2,91.2,57.9,17,110,7,5,101,39,2.28,3,0.18,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,12,25.0,66.7,696,3268,1522,19,13,0,13,8,827,11,9,13,0,34,106,8,6,57.1
Harvey Barnes,ENG,Newcastle Utd,FW,27-126,26,10,1172.0,8,3,0,0,5.8,3.2,63,58,127,0.61,0.23,0.44,0.24,N/a,N/a,N/a,N/a,33.3,1.15,0.18,14.2,318,78.9,4461,86.6,74.6,60.0,18,18,30,7,58,47,3.60,8,0.61,15,9,7,4,6,1,5,6,549,13,75,178,301,85,47,38.3,48.9,388,2917,1671,63,35,35,21,13,434,127,9,16,4,30,40,5,13,27.8
Ibrahima Konaté,FRA,Liverpool,DF,25-324,26,25,2140.0,1,2,5,0,1.6,1.0,21,99,2,0.04,0.08,0.07,0.04,N/a,N/a,N/a,N/a,14.3,0.08,0.07,10.4,1442,90.4,26603,93.6,95.1,54.7,10,116,8,0,99,27,1.14,7,0.29,35,24,33,10,27,15,12,11,1830,202,787,947,101,18,4,50.0,25.0,1086,4969,2894,21,13,0,8,2,1322,2,24,17,0,0,74,67,28,70.5
Idrissa Gana Gueye,SEN,Everton,MF,35-200,31,29,2537.0,0,3,7,0,1.0,1.7,21,119,21,0.00,0.11,0.04,0.06,N/a,N/a,N/a,N/a,15.4,0.14,0.00,25.3,1005,86.4,17046,90.3,90.3,74.1,19,124,9,3,119,55,1.95,3,0.11,116,70,82,31,43,9,34,37,1487,66,358,843,292,19,35,48.6,45.7,694,3166,1372,21,23,4,27,33,851,21,47,38,0,6,165,21,15,58.3
Igor,BRA,Brighton,DF,27-066,12,9,903.0,0,0,4,0,0.0,0.2,9,44,0,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,14.1,628,92.1,11358,96.5,95.2,71.4,1,35,2,1,44,11,1.10,0,0.00,4,4,10,6,23,14,9,4,764,109,377,353,38,1,4,75.0,25.0,497,2837,1782,9,14,0,1,0,568,0,9,6,0,2,40,8,6,57.1
Iliman Ndiaye,SEN,Everton,FW,25-039,27,24,2039.0,7,0,3,0,5.0,1.5,76,42,103,0.31,0.00,0.22,0.07,N/a,N/a,N/a,N/a,44.8,0.57,0.17,17.2,488,80.3,7401,85.2,85.7,70.2,16,32,14,5,42,56,2.47,5,0.22,46,24,44,25,24,4,20,17,913,32,190,370,400,72,130,45.4,47.7,526,4144,2082,76,38,29,45,38,552,103,21,44,5,35,152,4,17,19.0
Illia Zabarnyi,UKR,Bournemouth,DF,22-225,29,29,2527.0,0,0,3,1,1.0,0.5,18,104,3,0.00,0.00,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,8.8,1104,80.9,23567,89.8,90.6,52.5,10,111,6,0,104,26,0.93,0,0.00,44,30,42,13,32,19,13,32,1652,196,790,829,52,11,8,62.5,25.0,1023,6487,3836,18,14,0,14,3,1020,3,17,5,0,5,136,63,35,64.3
Ismaila Sarr,SEN,Crystal Palace,"MF,FW",27-048,31,24,2200.0,7,4,3,0,8.2,6.7,61,71,156,0.29,0.16,0.34,0.27,N/a,N/a,N/a,N/a,54.5,0.98,0.16,13.7,407,66.4,6097,74.6,70.5,46.3,34,23,35,7,71,92,3.76,9,0.37,21,10,23,16,21,7,14,7,891,36,146,342,412,109,50,28.0,54.0,487,3038,1680,61,38,24,57,39,604,156,11,44,10,44,91,27,44,38.0
Issa Diop,FRA,Fulham,DF,28-095,21,15,1339.0,0,0,2,0,0.5,0.1,6,25,3,0.00,0.00,0.04,0.01,N/a,N/a,N/a,N/a,40.0,0.13,0.00,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,25,6,0.40,0,0.00,26,12,18,5,10,7,3,9,903,125,498,381,26,13,2,50.0,50.0,533,2426,1216,6,2,0,9,2,617,3,10,4,0,1,45,20,12,62.5
Jack Clarke,ENG,Ipswich Town,"FW,MF",24-142,26,9,960.0,0,4,2,0,1.0,1.9,27,30,47,0.00,0.37,0.09,0.18,N/a,N/a,N/a,N/a,14.3,0.19,0.00,19.4,246,76.6,4029,86.9,88.1,46.4,21,22,6,0,30,37,3.47,5,0.47,27,16,30,15,5,0,5,5,444,16,105,181,171,28,37,56.8,32.4,255,1790,910,27,17,9,19,15,277,47,14,19,3,13,61,6,14,30.0
Jack Harrison,ENG,Everton,FW,28-145,28,20,1747.0,1,0,0,0,3.3,3.6,56,43,106,0.05,0.00,0.17,0.19,N/a,N/a,N/a,N/a,22.2,0.31,0.04,16.3,342,63.1,5416,81.1,69.2,33.3,30,24,23,9,43,51,2.62,4,0.21,28,19,36,22,16,2,14,7,793,30,135,275,390,59,68,30.9,58.8,439,2557,1304,56,27,14,45,35,511,106,12,24,3,106,61,4,25,13.8
